SNo	Rank	Allotted Quota	Allotted Institute	City	Course	Allotted Category	Candidate Category	Remarks
56	59	AIQ	Government Medical College	Kozhikode 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
57	60	AIQ	Government Medical College	Kozhikode 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
58	61	AIQ	V.M.M.C. and S.J. HOSPITAL	New DELHI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
59	62	AIQ	Government Medical College	Thiruvananthapuram 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
60	63	AIQ	Byramjee Jeejeebhoy Government Medical College	Pune 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
61	64	AIQ	Government Medical College	Kozhikode 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
62	65	DU	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
63	66	AIQ	S.V. Medical College	Tirupathi 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
64	67	DU	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
65	68	AIQ	V.M.M.C. and S.J. HOSPITAL	New DELHI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
66	69	AIQ	Government Medical College	Thiruvananthapuram 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
67	70	AIQ	PGIMER Dr. RML Hospital	New Delhi 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
68	71	AIQ	Government Medical College	Kozhikode 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
69	72	AIQ	V.M.M.C. and S.J. HOSPITAL	New DELHI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
70	73	AIQ	MADRAS MEDICAL COLLEGE	CHENNAI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
71	74	AIQ	V.M.M.C. and S.J. HOSPITAL	New DELHI 	M.D. (RADIO- DIAGNOSIS)	OBC	OBC	Allotted
72	75	AIQ	PGIMER Dr. RML Hospital	New Delhi 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
73	76	AIQ	Seth Gordhandas Sunderdas Medical College	Mumbai 	M.D. (DERM.,VENE. & LEPROSY)/ (DERMATOLOGY)/(SKIN & VENEREAL DISEASES)/(VENEREOL OGY)	GN	GNNO	Allotted
74	77	AIQ	Bangalore Medical College	Bangalore 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
75	78	AIQ	Government Medical College	Thiruvananthapuram 	M.S. (OPHTHALMOLOGY)	GN	GNNO	Allotted
76	79	AIQ	V.M.M.C. and S.J. HOSPITAL	New DELHI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
77	80	AIQ	UNIV. COLL. OF MED. SCIENCE	N.DELHI 	M.D. (GENERAL MEDICINE)	GN	EWNO	Allotted
78	81	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (DERM.,VENE. & LEPROSY)/ (DERMATOLOGY)/(SKIN & VENEREAL DISEASES)/(VENEREOL OGY)	GN	OBC	Allotted
79	82	AIQ	Bangalore Medical College	Bangalore 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
80	84	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.S. (GENERAL SURGERY)	GN	OBC	Allotted
81	85	AIQ	PGIMER Dr. RML Hospital	New Delhi 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
82	86	AIQ	Institute of Post Graduate Medical Education Research	KOLKATA 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
83	87	AIQ	MADRAS MEDICAL COLLEGE	CHENNAI 	M.D. (PAEDIATRICS)	GN	EWNO	Allotted
84	88	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (GENERAL MEDICINE)	OBC	OBC	Allotted
85	89	AIQ	B.J. Medical College	Ahmedabad 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
86	90	AIQ	Government Medical College	Thiruvananthapuram 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
87	91	AIQ	PGIMER Dr. RML Hospital	New Delhi 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
88	92	AIQ	Government Medical College	Kozhikode 	M.D. (GENERAL MEDICINE)	GN	OBC	Allotted
89	93	AIQ	V.M.M.C. and S.J. HOSPITAL	New DELHI 	M.D. (GENERAL MEDICINE)	OBC	OBC	Allotted
90	94	AIQ	PGIMER Dr. RML Hospital	New Delhi 	M.D. (DERM.,VENE. & LEPROSY)/ (DERMATOLOGY)/(SKIN & VENEREAL DISEASES)/(VENEREOL OGY)	GN	GNNO	Allotted
91	95	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.S. (GENERAL SURGERY)	GN	GNNO	Allotted
92	96	AIQ	UNIV. COLL. OF MED. SCIENCE	N.DELHI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
93	97	AIQ	Seth Gordhandas Sunderdas Medical College	Mumbai 	M.D. (GENERAL MEDICINE)	GN	OBC	Allotted
94	98	AIQ	LADY HARDINGE MEDICAL COLL.	N.DELHI 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
95	99	AIQ	MADRAS MEDICAL COLLEGE	CHENNAI 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
96	100	AIQ	Seth Gordhandas Sunderdas Medical College	Mumbai 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
97	101	AIQ	Seth Gordhandas Sunderdas Medical College	Mumbai 	M.S. (ORTHOPAEDICS)	GN	GNNO	Allotted
98	102	AIQ	Government Medical College	Thiruvananthapuram 	M.D. (DERM.,VENE. & LEPROSY)/ (DERMATOLOGY)/(SKIN & VENEREAL DISEASES)/(VENEREOL OGY)	GN	GNNO	Allotted
99	103	AIQ	PGIMER Dr. RML Hospital	New Delhi 	M.D. (GENERAL MEDICINE)	OBC	OBC	Allotted
100	104	AIQ	PGIMER Dr. RML Hospital	New Delhi 	M.D. (GENERAL MEDICINE)	OBC	OBC	Allotted
101	105	AIQ	Lokmanya Tilak Municipal Medical College	Mumbai 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
102	106	AIQ	UNIV. COLL. OF MED. SCIENCE	N.DELHI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
103	108	AIQ	Government Medical College	Thiruvananthapuram 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
104	109	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
105	110	AIQ	UNIV. COLL. OF MED. SCIENCE	N.DELHI 	M.D. (DERM.,VENE. & LEPROSY)/ (DERMATOLOGY)/(SKIN & VENEREAL DISEASES)/(VENEREOL OGY)	SC	SC	Allotted
106	111	AIQ	Government Medical College	Kottayam 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
107	112	AIQ	B.J. Medical College	Ahmedabad 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
108	113	AIQ	PGIMER Dr. RML Hospital	New Delhi 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
109	114	AIQ	Seth Gordhandas Sunderdas Medical College	Mumbai 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
110	115	AIQ	Seth Gordhandas Sunderdas Medical College	Mumbai 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
111	116	AIQ	LADY HARDINGE MEDICAL COLL.	N.DELHI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
112	118	AIQ	B.J. Medical College	Ahmedabad 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
113	119	AIQ	Government Medical College	Kozhikode 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
114	120	AIQ	Lokmanya Tilak Municipal Medical College	Mumbai 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
115	121	AIQ	Government Medical College	Thiruvananthapuram 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
116	122	AIQ	Bangalore Medical College	Bangalore 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
117	123	AIQ	PGIMER Dr. RML Hospital	New Delhi 	M.D. (GENERAL MEDICINE)	OBC	OBC	Allotted
118	124	AIQ	MADRAS MEDICAL COLLEGE	CHENNAI 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
119	125	AIQ	Government Medical College	Kottayam 	M.D. (DERM.,VENE. & LEPROSY)/ (DERMATOLOGY)/(SKIN & VENEREAL DISEASES)/(VENEREOL OGY)	GN	GNNO	Allotted
120	126	AIQ	Nizam Institute of Medical Sciences	Hyderabad 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
121	127	AIQ	Lokmanya Tilak Municipal Medical College	Mumbai 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
122	128	AIQ	Seth Gordhandas Sunderdas Medical College	Mumbai 	M.S. (GENERAL SURGERY)	GN	GNNO	Allotted
123	129	AIQ	LADY HARDINGE MEDICAL COLL.	N.DELHI 	M.D. (GENERAL MEDICINE)	GN	EWNO	Allotted
124	130	AIQ	Government Medical College	Thiruvananthapuram 	M.D. (RADIO- DIAGNOSIS)	GN	OBC	Allotted
125	131	AIQ	B.J. Medical College	Ahmedabad 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
126	132	AIQ	Nizam Institute of Medical Sciences	Hyderabad 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
127	133	AIQ	UNIV. COLL. OF MED. SCIENCE	N.DELHI 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
128	134	AIQ	V.M.M.C. and S.J. HOSPITAL	New DELHI 	M.D. (RADIO- DIAGNOSIS)	OBC	OBC	Allotted
129	135	AIQ	Sawai ManSingh Medical College	Jaipur 	M.D. (DERM.,VENE. & LEPROSY)/ (DERMATOLOGY)/(SKIN & VENEREAL DISEASES)/(VENEREOL OGY)	GN	GNNO	Allotted
130	136	AIQ	Government Medical College	Thiruvananthapuram 	M.D. (RADIO- DIAGNOSIS)	GN	OBC	Allotted
131	137	AIQ	V.M.M.C. and S.J. HOSPITAL	New DELHI 	M.S. (GENERAL SURGERY)	GN	OBC	Allotted
132	138	AIQ	MADRAS MEDICAL COLLEGE	CHENNAI 	M.D. (PAEDIATRICS)	GN	OBC	Allotted
133	139	AIQ	UNIV. COLL. OF MED. SCIENCE	N.DELHI 	M.D. (GENERAL MEDICINE)	OBC	OBC	Allotted
134	140	AIQ	Nizam Institute of Medical Sciences	Hyderabad 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
135	142	AIQ	Sanjay Gandhi Postgraduate Institute of Medical Sciences	Lucknow 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
136	143	AIQ	Lokmanya Tilak Municipal Medical College	Mumbai 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
137	144	AIQ	Institute of Post Graduate Medical Education Research	KOLKATA 	M.D. (RADIO- DIAGNOSIS)	GN	SC	Allotted
138	145	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
139	146	AIQ	V.M.M.C. and S.J. HOSPITAL	New DELHI 	M.S. (E.N.T.)	GN	GNNO	Allotted
140	147	AIQ	LADY HARDINGE MEDICAL COLL.	N.DELHI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
141	148	AIQ	Grant Medical College	Mumbai 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
142	149	AIQ	Nizam Institute of Medical Sciences	Hyderabad 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
143	150	AIQ	Government Medical College	Kottayam 	M.D. (DERM.,VENE. & LEPROSY)/ (DERMATOLOGY)/(SKIN & VENEREAL DISEASES)/(VENEREOL OGY)	GN	GNNO	Allotted
144	152	AIQ	V.M.M.C. and S.J. HOSPITAL	New DELHI 	M.D. (GENERAL MEDICINE)	OBC	OBC	Allotted
145	153	AIQ	LADY HARDINGE MEDICAL COLL.	N.DELHI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
146	154	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
147	155	AIQ	Seth Gordhandas Sunderdas Medical College	Mumbai 	M.S. (ORTHOPAEDICS)	GN	GNNO	Allotted
148	157	AIQ	Lokmanya Tilak Municipal Medical College	Mumbai 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
149	158	AIQ	Seth Gordhandas Sunderdas Medical College	Mumbai 	M.S. (ORTHOPAEDICS)	GN	GNNO	Allotted
150	159	AIQ	Sawai ManSingh Medical College	Jaipur 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
151	160	AIQ	Government Medical College	Thiruvananthapuram 	M.D. (RADIO- DIAGNOSIS)	GN	OBC	Allotted
152	161	AIQ	PGIMER Dr. RML Hospital	New Delhi 	M.D. (RADIO- DIAGNOSIS)	OBC	OBC	Allotted
153	162	AIQ	Tata Memorial Centre	Mumbai 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
154	163	AIQ	Government Medical College	Kozhikode 	M.D. (GENERAL MEDICINE)	GN	OBC	Allotted
155	164	DU	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
156	165	AIQ	PGIMER Dr. RML Hospital	New Delhi 	M.D. (RADIO- DIAGNOSIS)	OBC	OBC	Allotted
157	166	AIQ	Sanjay Gandhi Postgraduate Institute of Medical Sciences	Lucknow 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
158	167	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
159	168	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
160	169	AIQ	MADRAS MEDICAL COLLEGE	CHENNAI 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
161	170	AIQ	Seth Gordhandas Sunderdas Medical College	Mumbai 	M.D. (DERM.,VENE. & LEPROSY)/ (DERMATOLOGY)/(SKIN & VENEREAL DISEASES)/(VENEREOL OGY)	GN	GNNO	Allotted
162	171	AIQ	Government Medical College	Kozhikode 	M.S. (GENERAL SURGERY)	GN	GNNO	Allotted
163	172	AIQ	Bangalore Medical College	Bangalore 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
164	173	AIQ	INSTITUTE OF MEDICAL SCIENCES	VARANASI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
165	174	AIQ	Topiwala National Medical College	Mumbai 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
166	175	AIQ	Indra Gandhi Inst. Of Child Health	Bangalore 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
167	176	AIQ	Government Medical College	Kozhikode 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
168	177	AIQ	Govt. Medical College and Hospital	Chandigarh 	M.D. (DERM.,VENE. & LEPROSY)/ (DERMATOLOGY)/(SKIN & VENEREAL DISEASES)/(VENEREOL OGY)	GN	EWNO	Allotted
169	178	AIQ	MADRAS MEDICAL COLLEGE	CHENNAI 	M.D. (RADIO- DIAGNOSIS)	GN	OBC	Allotted
170	179	AIQ	LADY HARDINGE MEDICAL COLL.	N.DELHI 	M.D. (RADIO- DIAGNOSIS)	OBC	OBC	Allotted
171	180	AIQ	MADRAS MEDICAL COLLEGE	CHENNAI 	M.D. (GENERAL MEDICINE)	GN	OBC	Allotted
172	181	AIQ	UNIV. COLL. OF MED. SCIENCE	N.DELHI 	M.D. (RADIO- DIAGNOSIS)	GN	EWNO	Allotted
173	182	AIQ	Pt. B.D. Sharma PGIMS	Rohtak 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
174	183	AIQ	MADRAS MEDICAL COLLEGE	CHENNAI 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
175	184	AIQ	King Georges Medical University	LUCKNOW 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
176	185	AIQ	King Georges Medical University	LUCKNOW 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
177	186	AIQ	Seth Gordhandas Sunderdas Medical College	Mumbai 	M.S. (ORTHOPAEDICS)	GN	GNNO	Allotted
178	187	AIQ	V.M.M.C. and S.J. HOSPITAL	New DELHI 	M.S. (GENERAL SURGERY)	GN	OBC	Allotted
179	188	AIQ	INSTITUTE OF MEDICAL SCIENCES	VARANASI 	M.D. (RADIO- DIAGNOSIS)	GN	EWNO	Allotted
180	189	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
181	190	AIQ	Nizam Institute of Medical Sciences	Hyderabad 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
182	191	AIQ	MADRAS MEDICAL COLLEGE	CHENNAI 	M.D. (GENERAL MEDICINE)	GN	OBC	Allotted
183	193	AIQ	B.J. Medical College	Ahmedabad 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
184	194	AIQ	UNIV. COLL. OF MED. SCIENCE	N.DELHI 	M.D. (RADIO- DIAGNOSIS)	GN	EWNO	Allotted
185	195	AIQ	B.J. Medical College	Ahmedabad 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
186	196	DU	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
187	197	AIQ	Institute of Post Graduate Medical Education Research	KOLKATA 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
188	199	AIQ	Nizam Institute of Medical Sciences	Hyderabad 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
189	201	AIQ	Institute of Post Graduate Medical Education Research	KOLKATA 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
190	202	IP	Atal Bihari Vajpayee Institute of Medical Sciences and RML Hospital	IP 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
191	203	DU	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
192	205	AIQ	INSTITUTE OF MEDICAL SCIENCES	VARANASI 	M.D. (GENERAL MEDICINE)	GN	OBC	Allotted
193	206	AIQ	Government Medical College	Kozhikode 	M.D. (GENERAL MEDICINE)	GN	OBC	Allotted
194	207	AIQ	V.M.M.C. and S.J. HOSPITAL	New DELHI 	M.S. (GENERAL SURGERY)	GN	GNNO	Allotted
195	208	AIQ	Nizam Institute of Medical Sciences	Hyderabad 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
196	209	AIQ	Lokmanya Tilak Municipal Medical College	Mumbai 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
197	210	AIQ	Lokmanya Tilak Municipal Medical College	Mumbai 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
198	211	AIQ	Pt. B.D. Sharma PGIMS	Rohtak 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
199	212	AIQ	STANLEY MEDICAL COLLEGE	CHENNAI 	M.S. (GENERAL SURGERY)	GN	GNNO	Allotted
200	213	AIQ	MADRAS MEDICAL COLLEGE	CHENNAI 	M.D. (DERM.,VENE. & LEPROSY)/ (DERMATOLOGY)/(SKIN & VENEREAL DISEASES)/(VENEREOL OGY)	GN	OBC	Allotted
201	214	AIQ	Government Medical College	Thiruvananthapuram 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
